#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,fstype,host,mode,path
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:19:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:19:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:20:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:20:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:20:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:20:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:20:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:20:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:21:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:21:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:21:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:21:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:21:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:21:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:22:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:22:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:22:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:22:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:22:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:22:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:23:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:23:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:23:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:23:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:23:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:23:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:24:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:24:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:24:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:24:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:24:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:24:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:25:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:25:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:25:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:25:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:25:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:25:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:26:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:26:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:26:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:26:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:26:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:26:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:27:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:27:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:27:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
